statements;s1;s2;s3
st3;1;1;1
st4;1;2;1
st15;1;1;1
st22;1;1;2
st25;1;1;1
st27;1;1;1
st28;1;1;1
st29;1;1;1
st33;1;1;1
st38;1;1;1
st41;1;1;1
st42;1;1;1
st43;1;1;1
st2;2;2;2
st5;2;1;2
st7;2;2;2
st8;2;2;2
st9;2;2;2
st17;2;2;2
st19;2;3;2
st23;2;2;2
st23;2;3;2
st24;2;3;3
st31;2;3;3
st32;2;3;3
st33;2;3;2
st34;2;3;2
st35;2;2;2
st37;2;2;2
st39;2;3;3
st43;2;1;2
st45;2;2;3
st1;3;3;3
st6;3;2;2
st13;3;3;3
st11;3;3;3
st12;3;3;3
st13;3;3;3
st14;3;3;3
st16;3;3;2
st18;3;3;2
st21;3;3;3
st26;3;2;2
st36;3;3;3
st44;3;3;3
